"Construction Statistics from Approved Building Permits"

"Year","Period","Geolocation","Total Number","Total Floor area","Total Value","Residential Number","Residential Floor area","Residential Value","Non-residential Number","Non-residential Floor area","Non-residential Value","Additions Number","Additions Floor area","Additions Value","Alterations/Repairs/Renovations Number","Alterations/Repairs/Renovations Floor area","Alterations/Repairs/Renovations Value","Demolitions Number","Demolitions Floor area","Demolitions Value","Street furnitures... Number","Street furnitures... Floor area","Street furnitures... Value"
"2017","Annual","PHILIPPINES",152012,31884027,333214520,110942,16301228,164153250,21349,15035707,143315470,5086,547092,4301000,14635,..,21444800,399,..,93549,1346,..,1855228
"2017","Annual","..National Capital Region (NCR)",12612,6636192,101147791,6477,3858427,53003187,1415,2678456,35241138,381,99309,859346,4339,..,12044119,284,..,5906,136,..,582239
"2017","Annual","..Cordillera Administrative Region (CAR)",1303,383183,4692144,952,246940,2697933,219,121080,1571763,40,15163,193085,92,..,229363,0,..,0,5,..,8766
"2017","Annual","..Region I (Ilocos Region)",10610,1402633,12913225,7614,808002,7177823,1461,559370,4832591,467,35261,289560,1068,..,613252,15,..,732,152,..,80525
"2017","Annual","..Region II (Cagayan Valley)",4581,707831,6459199,3550,298692,2665248,774,406085,3510620,27,3054,23195,230,..,260136,4,..,599,24,..,26707
"2017","Annual","..Region III (Central Luzon)",16340,4369511,33433864,11386,1792612,15758408,3086,2483910,15839736,437,92989,563558,1431,..,1272162,22,..,1164,123,..,101878
"2017","Annual","..Region IV-A (CALABARZON)",37612,6591949,61631254,29260,3967770,34693849,3152,2486187,24034598,2882,137992,1129117,2318,..,1773690,11,..,9472,149,..,230907
"2017","Annual","..MIMAROPA Region",2432,434325,4453365,1569,172470,1452869,721,256579,2804719,25,5276,28561,117,..,167215,0,..,0,16,..,57225
"2017","Annual","..Region V (Bicol Region)",3179,528550,5442205,2168,235282,2216992,675,286003,2985533,68,7265,57884,268,..,181796,14,..,2029,11,..,3089
"2017","Annual","..Region VI (Western Visayas)",11545,2116442,21174959,8935,1084038,10698583,1648,1021193,9638781,191,11211,107675,771,..,729920,6,..,24,161,..,140552
"2017","Annual","..Region VII (Central Visayas)",15517,3078065,31738186,12230,1515045,14620378,2317,1525321,14731185,110,37699,337876,860,..,2048747,28,..,1938,290,..,400840
"2017","Annual","..Region VIII (Eastern Visayas)",4268,1001496,8947746,2692,387711,3249893,796,598791,5233587,56,14994,103737,724,..,360528,11,..,64373,28,..,34294
"2017","Annual","..Region IX (Zamboanga Peninsula)",4025,421167,2910002,3161,223566,1490005,424,186028,1199767,21,11573,66389,419,..,153842,1,..,1056,7,..,15535
"2017","Annual","..Region X (Northern Mindanao)",8791,1091881,8580818,7187,539264,4085599,1072,539328,4137065,137,13289,100924,395,..,257230,0,..,0,100,..,14149
"2017","Annual","..Region XI (Davao Region)",10304,1833561,19498862,7981,755716,7294821,1560,1048438,10995835,141,29407,264379,622,..,943828,0,..,0,66,..,79884
"2017","Annual","..Region XII (SOCCSKSARGEN)",3809,831315,6514975,1817,190275,1451392,1394,613816,4656237,65,27224,148950,533,..,258396,0,..,0,65,..,72186
"2017","Annual","..Region XIII (Caraga)",4847,427886,3490137,3759,216430,1557863,603,206070,1754983,38,5386,26765,447,..,150526,3,..,6256,13,..,6454
"2017","Annual","..Autonomous Region in Muslim Mindanao (ARMM)",237,28040,185786,204,8988,38405,32,19052,147331,0,0,0,1,..,50,0,..,0,0,..,0
"2017","Annual","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2017","Quarter 1","PHILIPPINES",37605,8319099,82440543,27435,4179963,40049824,5386,3979751,36110324,1444,159385,1095326,3340,..,5185070,106,..,1269,411,..,499073
"2017","Quarter 1","..National Capital Region (NCR)",3295,1876850,26470807,1696,1156919,14289994,365,684902,8439176,113,35029,265237,1121,..,3476401,87,..,615,48,..,26792
"2017","Quarter 1","..Cordillera Administrative Region (CAR)",335,87792,1056151,245,53372,583037,59,32211,415856,9,2209,17895,22,..,39363,0,..,0,0,..,0
